description,effective_domain_size,intersection_size,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size
Proline catabolism,7340,2,Proline catabolism,REAC:R-DRE-70688,1.0,['REAC:R-DRE-71291'],0.0004996252810392206,query_1,4003,1.0,False,REAC,2
Prolactin receptor signaling,7340,6,Prolactin receptor signaling,REAC:R-DRE-1170546,1.0,['REAC:R-DRE-1280215'],0.0014988758431176618,query_1,4003,0.42857142857142855,False,REAC,14
"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2",7340,2,"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2",REAC:R-DRE-964827,1.0,['REAC:R-DRE-964739'],0.0004996252810392206,query_1,4003,0.6666666666666666,False,REAC,3
Programmed Cell Death,7340,58,Programmed Cell Death,REAC:R-DRE-5357801,1.0,['REAC:0000000'],0.014489133150137397,query_1,4003,0.4496124031007752,False,REAC,129
Protein folding,7340,27,Protein folding,REAC:R-DRE-391251,1.0,['REAC:R-DRE-392499'],0.006744941294029478,query_1,4003,0.627906976744186,False,REAC,43
Processing of DNA double-strand break ends,7340,17,Processing of DNA double-strand break ends,REAC:R-DRE-5693607,1.0,['REAC:R-DRE-5693567'],0.004246814888833375,query_1,4003,0.5151515151515151,False,REAC,33
Processing and activation of SUMO,7340,3,Processing and activation of SUMO,REAC:R-DRE-3215018,1.0,['REAC:R-DRE-2990846'],0.0007494379215588309,query_1,4003,0.42857142857142855,False,REAC,7
Presynaptic nicotinic acetylcholine receptors,7340,7,Presynaptic nicotinic acetylcholine receptors,REAC:R-DRE-622323,1.0,['REAC:R-DRE-181431'],0.0017486884836372721,query_1,4003,0.5384615384615384,False,REAC,13
Pregnenolone biosynthesis,7340,7,Pregnenolone biosynthesis,REAC:R-DRE-196108,1.0,['REAC:R-DRE-196071'],0.0017486884836372721,query_1,4003,0.5384615384615384,False,REAC,13
Potassium transport channels,7340,1,Potassium transport channels,REAC:R-DRE-1296067,1.0,['REAC:R-DRE-1296065'],0.0002498126405196103,query_1,4003,0.5,False,REAC,2
Potassium Channels,7340,44,Potassium Channels,REAC:R-DRE-1296071,1.0,['REAC:R-DRE-112316'],0.010991756182862853,query_1,4003,0.4731182795698925,False,REAC,93
Postsynaptic nicotinic acetylcholine receptors,7340,8,Postsynaptic nicotinic acetylcholine receptors,REAC:R-DRE-622327,1.0,['REAC:R-DRE-181431'],0.0019985011241568824,query_1,4003,0.5333333333333333,False,REAC,15
Post-translational protein modification,7340,590,Post-translational protein modification,REAC:R-DRE-597592,1.0,['REAC:R-DRE-392499'],0.14738945790657007,query_1,4003,0.5629770992366412,False,REAC,1048
Processing of Capped Intron-Containing Pre-mRNA,7340,117,Processing of Capped Intron-Containing Pre-mRNA,REAC:R-DRE-72203,1.0,['REAC:R-DRE-8953854'],0.029228078940794405,query_1,4003,0.5735294117647058,False,REAC,204
RAF-independent MAPK1/3 activation,7340,8,RAF-independent MAPK1/3 activation,REAC:R-DRE-112409,1.0,['REAC:R-DRE-5684996'],0.0019985011241568824,query_1,4003,0.42105263157894735,False,REAC,19
Protein localization,7340,61,Protein localization,REAC:R-DRE-9609507,1.0,['REAC:0000000'],0.015238571071696228,query_1,4003,0.5980392156862745,False,REAC,102
Protein repair,7340,2,Protein repair,REAC:R-DRE-5676934,1.0,['REAC:R-DRE-392499'],0.0004996252810392206,query_1,4003,0.5,False,REAC,4
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,7340,6,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,REAC:R-DRE-8939242,1.0,['REAC:R-DRE-8878171'],0.0014988758431176618,query_1,4003,0.375,False,REAC,16
RAB GEFs exchange GTP for GDP on RABs,7340,45,RAB GEFs exchange GTP for GDP on RABs,REAC:R-DRE-8876198,1.0,['REAC:R-DRE-9007101'],0.011241568823382463,query_1,4003,0.625,False,REAC,72
RA biosynthesis pathway,7340,10,RA biosynthesis pathway,REAC:R-DRE-5365859,1.0,['REAC:R-DRE-5362517'],0.002498126405196103,query_1,4003,0.43478260869565216,False,REAC,23
Pyruvate metabolism and Citric Acid (TCA) cycle,7340,29,Pyruvate metabolism and Citric Acid (TCA) cycle,REAC:R-DRE-71406,1.0,['REAC:R-DRE-1428517'],0.007244566575068698,query_1,4003,0.5918367346938775,False,REAC,49
Pyruvate metabolism,7340,16,Pyruvate metabolism,REAC:R-DRE-70268,1.0,['REAC:R-DRE-71406'],0.003997002248313765,query_1,4003,0.6153846153846154,False,REAC,26
Pyrophosphate hydrolysis,7340,3,Pyrophosphate hydrolysis,REAC:R-DRE-71737,1.0,['REAC:R-DRE-1430728'],0.0007494379215588309,query_1,4003,1.0,False,REAC,3
Pyrimidine salvage,7340,3,Pyrimidine salvage,REAC:R-DRE-73614,1.0,['REAC:R-DRE-8956321'],0.0007494379215588309,query_1,4003,0.25,False,REAC,12
Protein methylation,7340,8,Protein methylation,REAC:R-DRE-8876725,1.0,['REAC:R-DRE-597592'],0.0019985011241568824,query_1,4003,0.5714285714285714,False,REAC,14
Pyrimidine catabolism,7340,4,Pyrimidine catabolism,REAC:R-DRE-73621,1.0,['REAC:R-DRE-8956319'],0.0009992505620784412,query_1,4003,0.5,False,REAC,8
Purine salvage,7340,5,Purine salvage,REAC:R-DRE-74217,1.0,['REAC:R-DRE-8956321'],0.0012490632025980515,query_1,4003,0.4166666666666667,False,REAC,12
Purine ribonucleoside monophosphate biosynthesis,7340,8,Purine ribonucleoside monophosphate biosynthesis,REAC:R-DRE-73817,1.0,['REAC:R-DRE-8956320'],0.0019985011241568824,query_1,4003,0.6666666666666666,False,REAC,12
Purine catabolism,7340,11,Purine catabolism,REAC:R-DRE-74259,1.0,['REAC:R-DRE-8956319'],0.0027479390457157134,query_1,4003,0.7857142857142857,False,REAC,14
Proton/oligopeptide cotransporters,7340,2,Proton/oligopeptide cotransporters,REAC:R-DRE-427975,1.0,['REAC:R-DRE-425393'],0.0004996252810392206,query_1,4003,1.0,False,REAC,2
Proton-coupled monocarboxylate transport,7340,2,Proton-coupled monocarboxylate transport,REAC:R-DRE-433692,1.0,['REAC:R-DRE-425366'],0.0004996252810392206,query_1,4003,0.4,False,REAC,5
Protein-protein interactions at synapses,7340,36,Protein-protein interactions at synapses,REAC:R-DRE-6794362,1.0,['REAC:R-DRE-112316'],0.008993255058705971,query_1,4003,0.5901639344262295,False,REAC,61
Protein ubiquitination,7340,40,Protein ubiquitination,REAC:R-DRE-8852135,1.0,['REAC:R-DRE-597592'],0.009992505620784412,query_1,4003,0.625,False,REAC,64
Pyrimidine biosynthesis,7340,1,Pyrimidine biosynthesis,REAC:R-DRE-500753,1.0,['REAC:R-DRE-8956320'],0.0002498126405196103,query_1,4003,0.5,False,REAC,2
RUNX2 regulates bone development,7340,3,RUNX2 regulates bone development,REAC:R-DRE-8941326,1.0,['REAC:R-DRE-8878166'],0.0007494379215588309,query_1,4003,0.375,False,REAC,8
Receptor-type tyrosine-protein phosphatases,7340,8,Receptor-type tyrosine-protein phosphatases,REAC:R-DRE-388844,1.0,['REAC:R-DRE-6794362'],0.0019985011241568824,query_1,4003,0.5333333333333333,False,REAC,15
Rab regulation of trafficking,7340,68,Rab regulation of trafficking,REAC:R-DRE-9007101,1.0,['REAC:R-DRE-199991'],0.0169872595553335,query_1,4003,0.6296296296296297,False,REAC,108
Regulation of signaling by CBL,7340,13,Regulation of signaling by CBL,REAC:R-DRE-912631,1.0,['REAC:R-DRE-512988'],0.003247564326754934,query_1,4003,0.65,False,REAC,20
Regulation of pyruvate dehydrogenase (PDH) complex,7340,9,Regulation of pyruvate dehydrogenase (PDH) complex,REAC:R-DRE-204174,1.0,['REAC:R-DRE-70268'],0.0022483137646764927,query_1,4003,0.6,False,REAC,15
Regulation of ornithine decarboxylase (ODC),7340,30,Regulation of ornithine decarboxylase (ODC),REAC:R-DRE-350562,1.0,['REAC:R-DRE-351202'],0.007494379215588309,query_1,4003,0.5769230769230769,False,REAC,52
Regulation of necroptotic cell death,7340,8,Regulation of necroptotic cell death,REAC:R-DRE-5675482,1.0,['REAC:R-DRE-5213460'],0.0019985011241568824,query_1,4003,0.4444444444444444,False,REAC,18
Regulation of mitotic cell cycle,7340,40,Regulation of mitotic cell cycle,REAC:R-DRE-453276,1.0,['REAC:R-DRE-69278'],0.009992505620784412,query_1,4003,0.47058823529411764,False,REAC,85
Regulation of mRNA stability by proteins that bind AU-rich elements,7340,43,Regulation of mRNA stability by proteins that bind AU-rich elements,REAC:R-DRE-450531,1.0,['REAC:R-DRE-8953854'],0.010741943542343242,query_1,4003,0.4574468085106383,False,REAC,94
Regulation of localization of FOXO transcription factors,7340,8,Regulation of localization of FOXO transcription factors,REAC:R-DRE-9614399,1.0,['REAC:R-DRE-9614085'],0.0019985011241568824,query_1,4003,0.7272727272727273,False,REAC,11
Regulation of lipid metabolism by PPARalpha,7340,8,Regulation of lipid metabolism by PPARalpha,REAC:R-DRE-400206,1.0,['REAC:R-DRE-556833'],0.0019985011241568824,query_1,4003,0.6153846153846154,False,REAC,13
Regulation of insulin secretion,7340,31,Regulation of insulin secretion,REAC:R-DRE-422356,1.0,['REAC:R-DRE-163685'],0.007744191856107919,query_1,4003,0.49206349206349204,False,REAC,63
Regulation of innate immune responses to cytosolic DNA,7340,7,Regulation of innate immune responses to cytosolic DNA,REAC:R-DRE-3134975,1.0,['REAC:R-DRE-1834949'],0.0017486884836372721,query_1,4003,0.4666666666666667,False,REAC,15
"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",7340,3,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",REAC:R-DRE-9634600,1.0,['REAC:R-DRE-70171'],0.0007494379215588309,query_1,4003,0.75,False,REAC,4
Regulation of gene expression in beta cells,7340,2,Regulation of gene expression in beta cells,REAC:R-DRE-210745,1.0,['REAC:R-DRE-186712'],0.0004996252810392206,query_1,4003,0.6666666666666666,False,REAC,3
Regulation of gene expression by Hypoxia-inducible Factor,7340,5,Regulation of gene expression by Hypoxia-inducible Factor,REAC:R-DRE-1234158,1.0,['REAC:R-DRE-1234174'],0.0012490632025980515,query_1,4003,0.625,False,REAC,8
Regulation of gap junction activity,7340,1,Regulation of gap junction activity,REAC:R-DRE-191650,1.0,['REAC:R-DRE-157858'],0.0002498126405196103,query_1,4003,0.3333333333333333,False,REAC,3
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,7340,1,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,REAC:R-DRE-446388,1.0,['REAC:R-DRE-446353'],0.0002498126405196103,query_1,4003,0.2,False,REAC,5
Regulation of the apoptosome activity,7340,1,Regulation of the apoptosome activity,REAC:R-DRE-9627069,1.0,['REAC:R-DRE-111458'],0.0002498126405196103,query_1,4003,0.3333333333333333,False,REAC,3
Regulation of cholesterol biosynthesis by SREBP (SREBF),7340,4,Regulation of cholesterol biosynthesis by SREBP (SREBF),REAC:R-DRE-1655829,1.0,['REAC:R-DRE-8957322'],0.0009992505620784412,query_1,4003,0.8,False,REAC,5
Relaxin receptors,7340,2,Relaxin receptors,REAC:R-DRE-444821,1.0,['REAC:R-DRE-375276'],0.0004996252810392206,query_1,4003,0.2222222222222222,False,REAC,9
Release of apoptotic factors from the mitochondria,7340,2,Release of apoptotic factors from the mitochondria,REAC:R-DRE-111457,1.0,['REAC:R-DRE-111471'],0.0004996252810392206,query_1,4003,0.6666666666666666,False,REAC,3
Reversible hydration of carbon dioxide,7340,4,Reversible hydration of carbon dioxide,REAC:R-DRE-1475029,1.0,['REAC:R-DRE-1430728'],0.0009992505620784412,query_1,4003,0.4444444444444444,False,REAC,9
Reversal of alkylation damage by DNA dioxygenases,7340,2,Reversal of alkylation damage by DNA dioxygenases,REAC:R-DRE-73943,1.0,['REAC:R-DRE-73942'],0.0004996252810392206,query_1,4003,1.0,False,REAC,2
Reuptake of GABA,7340,2,Reuptake of GABA,REAC:R-DRE-888593,1.0,['REAC:R-DRE-888590'],0.0004996252810392206,query_1,4003,0.6666666666666666,False,REAC,3
Retrograde transport at the Trans-Golgi-Network,7340,16,Retrograde transport at the Trans-Golgi-Network,REAC:R-DRE-6811440,1.0,['REAC:R-DRE-6811442'],0.003997002248313765,query_1,4003,0.48484848484848486,False,REAC,33
Retinoid metabolism and transport,7340,18,Retinoid metabolism and transport,REAC:R-DRE-975634,1.0,"['REAC:R-DRE-2187338', 'REAC:R-DRE-6806667']",0.0044966275293529855,query_1,4003,0.46153846153846156,False,REAC,39
Response to elevated platelet cytosolic Ca2+,7340,73,Response to elevated platelet cytosolic Ca2+,REAC:R-DRE-76005,1.0,['REAC:R-DRE-76002'],0.01823632275793155,query_1,4003,0.5572519083969466,False,REAC,131
Respiratory electron transport,7340,38,Respiratory electron transport,REAC:R-DRE-611105,1.0,['REAC:R-DRE-163200'],0.00949288033974519,query_1,4003,0.6551724137931034,False,REAC,58
Resolution of Sister Chromatid Cohesion,7340,55,Resolution of Sister Chromatid Cohesion,REAC:R-DRE-2500257,1.0,['REAC:R-DRE-68877'],0.013739695228578565,query_1,4003,0.514018691588785,False,REAC,107
Resolution of D-loop Structures through Holliday Junction Intermediates,7340,10,Resolution of D-loop Structures through Holliday Junction Intermediates,REAC:R-DRE-5693568,1.0,['REAC:R-DRE-5693537'],0.002498126405196103,query_1,4003,0.4,False,REAC,25
Resolution of D-Loop Structures,7340,10,Resolution of D-Loop Structures,REAC:R-DRE-5693537,1.0,['REAC:R-DRE-5685942'],0.002498126405196103,query_1,4003,0.4,False,REAC,25
Resolution of Abasic Sites (AP sites),7340,14,Resolution of Abasic Sites (AP sites),REAC:R-DRE-73933,1.0,['REAC:R-DRE-73884'],0.0034973769672745443,query_1,4003,0.4117647058823529,False,REAC,34
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,7340,8,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,REAC:R-DRE-110373,1.0,['REAC:R-DRE-73933'],0.0019985011241568824,query_1,4003,0.32,False,REAC,25
Reproduction,7340,12,Reproduction,REAC:R-DRE-1474165,1.0,['REAC:0000000'],0.0029977516862353237,query_1,4003,0.8,False,REAC,15
Repression of WNT target genes,7340,6,Repression of WNT target genes,REAC:R-DRE-4641265,1.0,['REAC:R-DRE-195253'],0.0014988758431176618,query_1,4003,0.6666666666666666,False,REAC,9
Removal of aminoterminal propeptides from gamma-carboxylated proteins,7340,5,Removal of aminoterminal propeptides from gamma-carboxylated proteins,REAC:R-DRE-159782,1.0,['REAC:R-DRE-159854'],0.0012490632025980515,query_1,4003,0.5555555555555556,False,REAC,9
Release of Hh-Np from the secreting cell,7340,3,Release of Hh-Np from the secreting cell,REAC:R-DRE-5362798,1.0,['REAC:R-DRE-5358346'],0.0007494379215588309,query_1,4003,0.5,False,REAC,6
Regulation of beta-cell development,7340,2,Regulation of beta-cell development,REAC:R-DRE-186712,1.0,['REAC:R-DRE-1266738'],0.0004996252810392206,query_1,4003,0.6666666666666666,False,REAC,3
Regulation of actin dynamics for phagocytic cup formation,7340,45,Regulation of actin dynamics for phagocytic cup formation,REAC:R-DRE-2029482,1.0,['REAC:R-DRE-2029480'],0.011241568823382463,query_1,4003,0.35714285714285715,False,REAC,126
Regulation of TP53 Expression and Degradation,7340,15,Regulation of TP53 Expression and Degradation,REAC:R-DRE-6806003,1.0,['REAC:R-DRE-5633007'],0.0037471896077941546,query_1,4003,0.40540540540540543,False,REAC,37
Regulation of FZD by ubiquitination,7340,9,Regulation of FZD by ubiquitination,REAC:R-DRE-4641263,1.0,['REAC:R-DRE-201681'],0.0022483137646764927,query_1,4003,0.5294117647058824,False,REAC,17
Regulation of FOXO transcriptional activity by acetylation,7340,5,Regulation of FOXO transcriptional activity by acetylation,REAC:R-DRE-9617629,1.0,['REAC:R-DRE-9614085'],0.0012490632025980515,query_1,4003,0.8333333333333334,False,REAC,6
Regulation of Complement cascade,7340,26,Regulation of Complement cascade,REAC:R-DRE-977606,1.0,['REAC:R-DRE-166658'],0.006495128653509868,query_1,4003,0.26262626262626265,False,REAC,99
Regulation of APC/C activators between G1/S and early anaphase,7340,38,Regulation of APC/C activators between G1/S and early anaphase,REAC:R-DRE-176408,1.0,['REAC:R-DRE-174143'],0.00949288033974519,query_1,4003,0.475,False,REAC,80
Regulated proteolysis of p75NTR,7340,7,Regulated proteolysis of p75NTR,REAC:R-DRE-193692,1.0,['REAC:R-DRE-193704'],0.0017486884836372721,query_1,4003,0.875,False,REAC,8
Regulated Necrosis,7340,8,Regulated Necrosis,REAC:R-DRE-5218859,1.0,['REAC:R-DRE-5357801'],0.0019985011241568824,query_1,4003,0.4444444444444444,False,REAC,18
Reduction of cytosolic Ca++ levels,7340,5,Reduction of cytosolic Ca++ levels,REAC:R-DRE-418359,1.0,['REAC:R-DRE-418360'],0.0012490632025980515,query_1,4003,0.625,False,REAC,8
