description,effective_domain_size,intersection_size,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size
"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",17954,516,nervous system development,GO:0007399,4.10872299465809e-14,['GO:0048731'],0.06491382563844508,query_1,7949,0.57847533632287,True,GO:BP,892
"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",17954,1221,regulation of primary metabolic process,GO:0080090,5.303334552573395e-13,"['GO:0019222', 'GO:0044238']",0.15360422694678577,query_1,7949,0.5195744680851064,True,GO:BP,2350
"""Binding to a protein component of a cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton)."" [GOC:mah]",22576,364,cytoskeletal protein binding,GO:0008092,2.2118324627767227e-12,['GO:0005515'],0.038344042979037186,query_1,9493,0.5705329153605015,True,GO:MF,638
"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]",17954,1197,regulation of nitrogen compound metabolic process,GO:0051171,3.1524057258358953e-12,"['GO:0006807', 'GO:0019222']",0.15058497924267203,query_1,7949,0.5181818181818182,True,GO:BP,2310
"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",17954,320,generation of neurons,GO:0048699,4.136241742948638e-12,['GO:0022008'],0.040256636054849665,query_1,7949,0.6095238095238096,True,GO:BP,525
"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]",17954,311,neuron differentiation,GO:0030182,6.387292635224638e-12,"['GO:0030154', 'GO:0048699']",0.03912441816580702,query_1,7949,0.6110019646365422,True,GO:BP,509
"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",22576,3247,catalytic activity,GO:0003824,1.0057733053827938e-10,['GO:0003674'],0.3420415042663015,query_1,9493,0.455335857523489,True,GO:MF,7131
"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]",17954,250,anatomical structure formation involved in morphogenesis,GO:0048646,1.812377758410931e-10,"['GO:0009653', 'GO:0032502']",0.0314504969178513,query_1,7949,0.6218905472636815,True,GO:BP,402
"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",17954,1059,regulation of nucleobase-containing compound metabolic process,GO:0019219,4.932487545057269e-10,"['GO:0006139', 'GO:0031323', 'GO:0051171', 'GO:0080090']",0.13322430494401813,query_1,7949,0.5165853658536586,True,GO:BP,2050
"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",14485,1001,cell periphery,GO:0071944,5.448772729982348e-10,['GO:0110165'],0.16627906976744186,query_1,6020,0.4852157052835676,True,GO:CC,2063
"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",17954,1034,regulation of RNA metabolic process,GO:0051252,8.903216233246408e-10,"['GO:0016070', 'GO:0019219', 'GO:0060255']",0.130079255252233,query_1,7949,0.5167416291854073,True,GO:BP,2001
"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]",14485,538,catalytic complex,GO:1902494,1.1165327883752594e-09,['GO:0032991'],0.0893687707641196,query_1,6020,0.5163147792706334,True,GO:CC,1042
"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",14485,343,mitochondrion,GO:0005739,1.8787748070011397e-09,"['GO:0005737', 'GO:0043231']",0.056976744186046514,query_1,6020,0.5461783439490446,True,GO:CC,628
"""The chemical reactions and pathways resulting in the formation of organic and inorganic nitrogenous compounds."" [GOC:jl, ISBN:0198506732]",17954,1399,cellular nitrogen compound biosynthetic process,GO:0044271,2.6626079427574584e-09,"['GO:0034641', 'GO:0044249']",0.1759969807522959,query_1,7949,0.5025143678160919,True,GO:BP,2784
"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]",14485,267,bounding membrane of organelle,GO:0098588,3.0386293579905863e-09,['GO:0031090'],0.04435215946843854,query_1,6020,0.565677966101695,True,GO:CC,472
"""A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."" [GOC:mah, PMID:16959967, PMID:27419875]",14485,425,cytoskeleton,GO:0005856,3.4337707993391953e-09,['GO:0043232'],0.07059800664451828,query_1,6020,0.5286069651741293,True,GO:CC,804
"""Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:pm]",22576,2756,small molecule binding,GO:0036094,4.2709098901018005e-09,['GO:0005488'],0.29031918255556727,query_1,9493,0.4568208188297696,True,GO:MF,6033
"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",14485,2574,membrane-bounded organelle,GO:0043227,5.027764431530503e-09,['GO:0043226'],0.4275747508305648,query_1,6020,0.44882301656495205,True,GO:CC,5735
"""A molecular function that controls the rate, timing and/or magnitude of gene transcription. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. Genes are transcriptional units, and include bacterial operons."" [GOC:pg, GOC:txnOH-2018, Wikipedia:Transcription_factor]",22576,703,transcription regulator activity,GO:0140110,5.748790258974879e-09,['GO:0003674'],0.07405456652270094,query_1,9493,0.5061195104391649,True,GO:MF,1389
"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",14485,2512,intracellular membrane-bounded organelle,GO:0043231,7.495804505182652e-09,"['GO:0043227', 'GO:0043229']",0.41727574750830565,query_1,6020,0.4492131616595136,True,GO:CC,5592
"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]",17954,251,neuron development,GO:0048666,8.287110180302067e-09,"['GO:0030182', 'GO:0048468']",0.03157629890552271,query_1,7949,0.606280193236715,True,GO:BP,414
"""The process in which a cellular entity is generated and organized. A cellular entity has granularity above the level of a protein complex but below that of an anatomical system."" [GOC:dph, GOC:mah, GOC:tb]",17954,199,cellular anatomical entity morphogenesis,GO:0032989,1.5061107425982666e-08,['GO:0009653'],0.025034595546609636,query_1,7949,0.6277602523659306,True,GO:BP,317
"""Binding to an ion, a charged atoms or groups of atoms."" [GOC:jl]",22576,2672,ion binding,GO:0043167,1.820936594135367e-08,['GO:0036094'],0.2814705572527125,query_1,9493,0.4563620836891546,True,GO:MF,5855
"""A polymeric supramolecular structure."" [GOC:dos]",14485,181,supramolecular polymer,GO:0099081,3.384699682901921e-08,['GO:0099080'],0.030066445182724253,query_1,6020,0.5934426229508196,True,GO:CC,305
"""A polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:dos]",14485,181,supramolecular fiber,GO:0099512,3.384699682901921e-08,['GO:0099081'],0.030066445182724253,query_1,6020,0.5934426229508196,True,GO:CC,305
"""The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes."" [GOC:jl, ISBN:0395825172, ISBN:0815316194]",14485,155,actin cytoskeleton,GO:0015629,3.941838391434249e-08,['GO:0005856'],0.02574750830564784,query_1,6020,0.610236220472441,True,GO:CC,254
"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",17954,969,regulation of RNA biosynthetic process,GO:2001141,4.551900630815339e-08,"['GO:0010556', 'GO:0032774', 'GO:0051252']",0.12190212605359164,query_1,7949,0.5129698253043938,True,GO:BP,1889
"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",17954,969,regulation of DNA-templated transcription,GO:0006355,4.551900630815339e-08,"['GO:0006351', 'GO:0010468', 'GO:2001141']",0.12190212605359164,query_1,7949,0.5129698253043938,True,GO:BP,1889
"""Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site, located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by some RNA polymerase. Cis-regulatory sites are often referred to as a sequence motifs, enhancers, or silencers."" [GOC:txnOH-2018]",22576,274,cis-regulatory region sequence-specific DNA binding,GO:0000987,4.844064336674331e-08,['GO:0000976'],0.028863373011692825,query_1,9493,0.5614754098360656,True,GO:MF,488
"""A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."" [GOC:dos]",14485,223,supramolecular complex,GO:0099080,5.20906206234005e-08,['GO:0110165'],0.03704318936877076,query_1,6020,0.5703324808184144,True,GO:CC,391
"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",14485,887,plasma membrane,GO:0005886,5.404530873490735e-08,"['GO:0016020', 'GO:0071944']",0.1473421926910299,query_1,6020,0.48258977149075083,True,GO:CC,1838
"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",17954,395,tissue development,GO:0009888,7.071722933259322e-08,['GO:0048856'],0.04969178513020506,query_1,7949,0.5610795454545454,True,GO:BP,704
"""A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."" [ISBN:0198506732]",14485,236,Golgi apparatus,GO:0005794,7.98573599135284e-08,"['GO:0005737', 'GO:0012505', 'GO:0043231']",0.03920265780730897,query_1,6020,0.5632458233890215,True,GO:CC,419
"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]",17954,1146,nucleobase-containing compound biosynthetic process,GO:0034654,8.609790104546241e-08,"['GO:0006139', 'GO:0018130', 'GO:0019438', 'GO:0044271', 'GO:1901362']",0.14416907787143038,query_1,7949,0.5050683120317321,True,GO:BP,2269
"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]",17954,1032,DNA-templated transcription,GO:0006351,9.092120982850862e-08,"['GO:0010467', 'GO:0032774']",0.12982765127689017,query_1,7949,0.5091267883571781,True,GO:BP,2027
"""Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II."" [GOC:txnOH-2018]",22576,269,RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000978,9.207540356949452e-08,"['GO:0000977', 'GO:0000987']",0.02833666912461814,query_1,9493,0.5604166666666667,True,GO:MF,480
"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]",17954,1033,RNA biosynthetic process,GO:0032774,1.0322489846170284e-07,"['GO:0009059', 'GO:0016070', 'GO:0034654']",0.1299534532645616,query_1,7949,0.5088669950738917,True,GO:BP,2030
"""Enables the transfer of an inorganic molecular entity from the outside of a cell to the inside of the cell across a membrane. An inorganic molecular entity is a molecular entity that contains no carbon."" [GOC:mtg_transport, ISBN:0815340729]",22576,337,inorganic molecular entity transmembrane transporter activity,GO:0015318,1.6500340988292664e-07,['GO:0022857'],0.03549984198883388,query_1,9493,0.5409309791332263,True,GO:MF,623
"""The progression of an axon over time. Covers axonogenesis (de novo generation of an axon) and axon regeneration (regrowth), as well as processes pertaining to the progression of the axon over time (fasciculation and defasciculation)."" [GOC:dph, GOC:pg, GOC:pr]",17954,162,axon development,GO:0061564,1.961416908830401e-07,['GO:0031175'],0.020379922002767645,query_1,7949,0.6377952755905512,True,GO:BP,254
"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]",17954,210,neuron projection development,GO:0031175,2.4581087552233266e-07,"['GO:0048666', 'GO:0120036']",0.026418417410995095,query_1,7949,0.6086956521739131,True,GO:BP,345
"""The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198547684]",17954,1176,heterocycle biosynthetic process,GO:0018130,2.5159747697787874e-07,"['GO:0044249', 'GO:0046483']",0.14794313750157254,query_1,7949,0.5023494233233661,True,GO:BP,2341
"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]",14485,197,organelle subcompartment,GO:0031984,3.583228046289321e-07,"['GO:0043227', 'GO:0043229', 'GO:0110165']",0.032724252491694354,query_1,6020,0.5726744186046512,True,GO:CC,344
"""The chemical reactions and pathways resulting in the formation of organic cyclic compound."" [GOC:TermGenie]",17954,1202,organic cyclic compound biosynthetic process,GO:1901362,4.446789961884505e-07,"['GO:1901360', 'GO:1901576']",0.15121398918102907,query_1,7949,0.5006247396917951,True,GO:BP,2401
"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]",17954,207,cell morphogenesis,GO:0000902,4.603249987144978e-07,['GO:0009653'],0.026041011447980877,query_1,7949,0.6070381231671554,True,GO:BP,341
"""The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."" [GOC:ai]",17954,1168,aromatic compound biosynthetic process,GO:0019438,4.904728357162932e-07,"['GO:0006725', 'GO:0044249']",0.14693672160020127,query_1,7949,0.5015027908973808,True,GO:BP,2329
"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",17954,1364,transport,GO:0006810,5.107408270465484e-07,['GO:0051234'],0.17159391118379672,query_1,7949,0.496,True,GO:BP,2750
"""The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]",17954,289,embryo development,GO:0009790,5.613247255605657e-07,['GO:0007275'],0.0363567744370361,query_1,7949,0.5768463073852296,True,GO:BP,501
"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",17954,551,positive regulation of cellular process,GO:0048522,7.223492691330828e-07,"['GO:0009987', 'GO:0048518', 'GO:0050794']",0.06931689520694427,query_1,7949,0.5339147286821705,True,GO:BP,1032
"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",17954,250,circulatory system development,GO:0072359,8.718598827997782e-07,['GO:0048731'],0.0314504969178513,query_1,7949,0.5868544600938967,True,GO:BP,426
"""A molecular function regulator regulates the activity of its target via non-covalent binding that does not result in covalent modification to the target. Examples of molecular function regulators include regulatory subunits of multimeric enzymes and channels. Mechanisms of regulation include allosteric changes in the target and competitive inhibition."" [GOC:dos, GOC:pt]",22576,693,molecular function regulator activity,GO:0098772,9.782737219485745e-07,['GO:0003674'],0.07300115874855156,query_1,9493,0.49535382416011436,True,GO:MF,1399
"""Any protein complex that is part of a membrane."" [GOC:dos]",14485,434,membrane protein complex,GO:0098796,1.1152257503229486e-06,"['GO:0016020', 'GO:0032991']",0.07209302325581396,query_1,6020,0.5099882491186839,True,GO:CC,851
"""De novo generation of a long process of a neuron, including the terminal branched region. Refers to the morphogenesis or creation of shape or form of the developing axon, which carries efferent (outgoing) action potentials from the cell body towards target cells."" [GOC:dph, GOC:jid, GOC:pg, GOC:pr, ISBN:0198506732]",17954,145,axonogenesis,GO:0007409,1.4542475950451584e-06,"['GO:0048667', 'GO:0048812', 'GO:0061564']",0.018241288212353754,query_1,7949,0.6387665198237885,True,GO:BP,227
"""Binds to and modulates the activity of an enzyme."" [GOC:dph, GOC:mah, GOC:tb]",22576,437,enzyme regulator activity,GO:0030234,2.60501430101428e-06,['GO:0098772'],0.04603391973032761,query_1,9493,0.5153301886792453,True,GO:MF,848
"""The continuous network of membranes encompassing the nuclear outer membrane and the endoplasmic reticulum membrane."" [GOC:bf, GOC:jl, GOC:mah, GOC:mcc, GOC:pr, GOC:vw]",14485,141,nuclear outer membrane-endoplasmic reticulum membrane network,GO:0042175,2.678049000086249e-06,"['GO:0012505', 'GO:0016020']",0.023421926910299002,query_1,6020,0.5949367088607594,True,GO:CC,237
"""Enables the transfer of inorganic cations from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage."" [GOC:ai, GOC:mtg_transport, ISBN:0815340729]",22576,284,inorganic cation transmembrane transporter activity,GO:0022890,2.8753352874729083e-06,['GO:0015318'],0.0299167807858422,query_1,9493,0.5419847328244275,True,GO:MF,524
"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]",17954,253,inorganic ion transmembrane transport,GO:0098660,3.042317140958692e-06,['GO:0055085'],0.03182790288086552,query_1,7949,0.5802752293577982,True,GO:BP,436
"""A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."" [GOC:txnOH-2018]",22576,599,DNA-binding transcription factor activity,GO:0003700,3.3949961069045102e-06,['GO:0140110'],0.06309912567154746,query_1,9493,0.4987510407993339,True,GO:MF,1201
"""The chemical reactions and pathways resulting in the breakdown of substances, including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."" [ISBN:0198547684]",17954,507,catabolic process,GO:0009056,3.8126407449548765e-06,['GO:0008152'],0.06378160774940245,query_1,7949,0.5336842105263158,True,GO:BP,950
"""Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."" [GOC:go_curators, ISBN:0815316194]",14485,60,contractile fiber,GO:0043292,4.526056593864792e-06,"['GO:0005737', 'GO:0043232', 'GO:0099512']",0.009966777408637873,query_1,6020,0.7142857142857143,True,GO:CC,84
"""Binding to a lipid."" [GOC:ai]",22576,243,lipid binding,GO:0008289,5.012650331014317e-06,['GO:0005488'],0.025597808911829768,query_1,9493,0.5510204081632653,True,GO:MF,441
"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",17954,248,regulation of developmental process,GO:0050793,5.194039189766555e-06,"['GO:0032502', 'GO:0050789']",0.03119889294250849,query_1,7949,0.5794392523364486,True,GO:BP,428
"""A distinct region of the endoplasmic reticulum."" [GOC:dos]",14485,141,endoplasmic reticulum subcompartment,GO:0098827,5.630938150768226e-06,"['GO:0005783', 'GO:0031984']",0.023421926910299002,query_1,6020,0.5899581589958159,True,GO:CC,239
"""The process in which the anatomical structures of a cell projection are generated and organized."" [GO_REF:0000021]",17954,163,cell projection morphogenesis,GO:0048858,5.632176845003557e-06,"['GO:0000902', 'GO:0030030', 'GO:0032989']",0.02050572399043905,query_1,7949,0.6174242424242424,True,GO:BP,264
"""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]",14485,244,endoplasmic reticulum,GO:0005783,5.7142557400362806e-06,"['GO:0005737', 'GO:0012505', 'GO:0043231']",0.04053156146179402,query_1,6020,0.541019955654102,True,GO:CC,451
"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",17954,139,regulation of multicellular organismal development,GO:2000026,5.765621332684962e-06,"['GO:0007275', 'GO:0050793', 'GO:0051239']",0.017486476286325325,query_1,7949,0.634703196347032,True,GO:BP,219
"""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]",14485,138,endoplasmic reticulum membrane,GO:0005789,8.105493342383199e-06,"['GO:0031090', 'GO:0042175', 'GO:0098827']",0.02292358803986711,query_1,6020,0.5897435897435898,True,GO:CC,234
"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]",14485,247,cytoplasmic vesicle,GO:0031410,8.71156273968246e-06,"['GO:0005737', 'GO:0097708']",0.041029900332225915,query_1,6020,0.5381263616557734,True,GO:CC,459
